Age,AgeGroup,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
20,0,0,3,654,2,21,3,2,3,1,43,4,1,8,4,2,2678,3,5050,1,0,17,3,4,0,2,2,3,2,1,2,2.0
20,0,0,3,1141,2,2,3,3,3,0,31,3,1,8,3,2,2783,3,13251,1,0,19,3,1,0,2,3,3,2,2,2,2.0
20,0,0,3,727,2,9,1,1,4,1,54,3,1,8,1,2,2728,3,21082,1,0,11,3,1,0,2,3,3,2,2,0,2.0
21,0,0,3,996,1,3,2,3,4,1,100,2,1,6,3,2,3230,3,10531,1,0,17,3,1,0,3,4,4,3,2,1,0.0
21,0,1,2,756,2,1,1,5,1,0,99,2,1,8,2,2,2174,3,9150,1,1,11,3,3,0,3,3,3,3,2,1,2.0
21,0,1,3,156,2,12,3,1,3,0,90,4,1,8,2,2,2716,3,25422,1,0,15,3,4,0,1,0,3,1,0,0,0.0
21,0,0,3,1343,2,22,1,5,3,1,49,3,1,8,3,2,3447,3,24444,1,0,11,3,3,0,3,2,3,3,2,1,2.0
21,0,1,3,1427,1,18,1,4,4,0,65,3,1,6,4,2,2693,3,8870,1,0,19,3,1,0,1,3,2,1,0,0,0.0
21,0,1,3,1334,1,10,3,1,3,0,36,2,1,2,1,2,1416,3,17258,1,0,13,3,1,0,1,6,2,1,0,1,0.0
21,0,0,3,984,1,1,1,5,4,0,70,2,1,6,2,2,2070,3,25326,1,1,11,3,3,0,2,6,4,2,2,2,2.0
21,0,1,2,251,1,10,2,1,1,0,45,2,1,2,3,2,2625,3,25308,1,0,20,4,3,0,2,2,1,2,2,2,2.0
21,0,0,3,546,1,5,1,3,3,1,97,3,1,6,4,2,3117,3,26009,1,0,18,3,3,0,3,2,3,2,2,2,2.0
21,0,1,3,337,2,7,1,2,2,1,31,3,1,8,2,2,2679,3,4567,1,0,13,3,2,0,1,3,3,1,0,1,0.0
21,0,0,3,501,2,5,1,3,3,1,58,3,1,8,1,2,2380,3,25479,1,1,11,3,4,0,2,6,3,2,2,1,2.0
22,0,0,0,1123,1,16,2,3,4,1,96,4,1,2,4,0,2935,3,7324,1,1,13,3,2,2,1,2,2,1,0,0,0.0
22,0,0,3,534,1,15,3,3,2,0,59,3,1,2,4,2,2871,3,23785,1,0,15,3,3,0,1,5,3,0,0,0,0.0
22,0,0,3,594,1,2,1,5,3,1,100,3,1,2,4,1,2523,3,19299,0,0,14,3,3,1,3,2,3,2,1,2,1.0
22,0,0,3,1256,1,19,1,3,3,1,80,3,1,6,4,1,2323,3,11992,1,0,24,4,1,2,2,6,3,2,2,2,2.0
22,0,0,3,253,1,11,3,3,1,0,43,3,1,6,2,1,2244,3,24440,1,0,13,3,4,1,2,1,3,2,1,1,2.0
22,0,1,2,1368,1,4,1,5,3,1,99,2,1,2,3,2,3894,3,9129,5,0,16,3,3,0,4,3,3,2,2,1,2.0
22,0,0,3,604,1,6,1,3,1,1,69,3,1,6,3,1,2773,3,12145,0,0,20,4,4,0,3,3,3,2,2,2,2.0
22,0,0,3,1230,1,1,2,1,4,1,33,2,2,4,4,1,4775,3,19146,6,0,22,4,1,2,4,2,1,2,2,2,2.0
22,0,1,3,617,1,3,1,1,2,0,34,3,2,4,3,1,4171,3,10022,0,1,19,3,1,1,4,3,4,3,2,0,2.0
22,0,0,3,217,1,8,1,1,2,1,94,1,1,2,1,1,2451,3,6881,1,0,15,3,1,1,4,3,2,4,3,1,1.0
22,0,1,2,1256,1,3,4,1,3,1,48,2,1,6,4,1,2853,3,4223,0,1,11,3,2,1,1,5,3,0,0,0,0.0
22,0,0,0,457,1,26,2,4,2,0,85,2,1,6,3,1,2814,3,10293,1,1,14,3,2,0,4,2,2,4,2,1,3.0
22,0,1,3,1294,1,8,1,3,3,0,79,3,1,2,1,1,2398,3,15999,1,1,17,3,3,0,1,6,3,1,0,0,0.0
22,0,1,3,391,1,7,1,1,4,1,75,3,1,6,2,2,2472,3,26092,1,1,23,4,1,0,1,2,3,1,0,0,0.0
22,0,0,3,581,1,1,2,1,4,1,63,3,1,6,3,2,3375,3,17624,0,0,12,3,4,0,4,2,4,3,2,1,2.0
23,0,0,3,541,2,2,1,5,3,1,62,3,1,8,1,0,2322,3,9518,3,0,13,3,3,1,3,3,3,0,0,0,0.0
23,0,0,3,1309,1,26,1,1,3,1,83,3,1,6,4,0,2904,3,16092,1,0,12,3,3,2,4,2,2,4,2,0,2.0
23,0,0,3,885,1,4,3,3,1,1,58,4,1,6,1,1,2819,3,8544,2,0,16,3,1,1,5,3,4,3,2,0,2.0
23,0,0,3,650,1,9,1,3,2,1,37,3,1,2,1,1,2500,3,4344,1,0,14,3,4,1,5,2,4,4,3,0,2.0
23,0,0,3,310,1,10,1,3,1,1,79,4,1,6,3,2,3505,3,19630,1,0,18,3,4,0,2,3,3,2,2,0,2.0
23,0,1,3,1243,1,6,3,1,3,1,63,4,1,2,1,1,1601,3,3445,1,1,21,4,3,2,1,2,3,0,0,0,0.0
23,0,0,3,373,1,1,2,1,4,1,47,3,1,6,3,1,1223,3,16901,1,0,22,4,4,1,1,2,3,1,0,0,1.0
23,0,0,3,507,1,20,1,1,1,1,97,3,2,2,3,2,2272,3,24812,0,0,14,3,2,0,5,2,3,4,3,1,2.0
23,0,0,3,977,1,10,3,5,4,1,45,4,1,6,3,1,2073,3,12826,2,0,16,3,4,1,4,2,3,2,2,2,2.0
23,0,1,3,1320,1,8,1,3,4,1,93,2,1,2,3,2,3989,3,20586,1,1,11,3,1,0,5,2,3,5,4,1,2.0
23,0,1,3,427,2,7,3,1,3,1,99,3,1,8,4,0,2275,3,25103,1,1,21,4,2,1,3,2,3,3,2,0,2.0
23,0,0,3,160,1,4,1,3,3,0,51,3,1,2,2,2,3295,3,12862,1,0,13,3,3,0,3,3,1,3,2,1,2.0
23,0,0,3,571,1,12,2,4,4,1,78,3,1,2,4,2,2647,3,13672,1,0,13,3,3,0,5,6,4,5,2,1,4.0
23,0,1,2,638,2,9,3,2,4,1,33,3,1,8,1,1,1790,3,26956,1,0,19,3,1,1,1,3,2,1,0,1,0.0
24,0,0,0,673,1,11,2,4,1,0,96,4,2,4,3,0,4011,3,8232,0,0,18,3,4,1,5,5,2,4,2,1,3.0
24,0,1,3,813,1,1,3,3,2,1,61,3,1,6,4,1,2293,3,3020,2,1,16,3,1,1,6,2,2,2,0,2,0.0
24,0,0,3,1353,2,3,2,4,1,0,33,3,2,7,3,1,4999,3,17519,0,0,21,4,1,1,4,2,2,3,2,0,2.0
24,0,0,3,1127,1,18,1,1,2,1,52,3,1,2,3,1,2774,3,13257,0,0,12,3,3,1,6,2,3,5,3,1,2.0
24,0,0,3,1371,2,10,4,2,4,0,77,3,2,7,3,0,4260,3,5915,1,1,12,3,4,1,5,2,4,5,2,0,3.0
24,0,1,3,1448,2,1,1,5,1,0,62,3,1,8,2,2,3202,3,21972,1,1,16,3,2,0,6,4,3,5,3,1,4.0
24,0,0,2,535,2,24,3,3,4,1,38,3,1,8,4,1,2400,3,5530,0,0,13,3,3,2,3,3,3,2,2,2,1.0
24,0,0,3,691,1,23,3,3,2,1,89,4,1,6,4,1,2725,3,21630,1,1,11,3,2,2,6,3,3,6,5,1,4.0
24,0,0,3,823,1,17,2,4,4,1,94,2,1,2,2,1,2127,3,9100,1,0,21,4,4,1,1,2,3,1,0,0,0.0
24,0,1,2,1287,1,7,3,1,1,0,55,3,1,2,3,1,2886,3,14168,1,1,16,3,4,1,6,4,3,6,3,1,2.0
24,0,1,3,693,2,3,2,1,1,0,65,3,2,7,3,2,4577,3,24785,9,0,14,3,1,0,4,3,3,2,2,2,0.0
24,0,0,0,1092,1,9,3,1,3,1,60,2,1,2,2,0,2694,3,26551,1,0,11,3,3,3,1,4,3,1,0,0,0.0
24,0,0,0,1269,1,4,1,1,1,1,46,2,1,2,4,1,3162,3,10778,0,0,17,3,4,0,6,2,2,5,2,3,4.0
24,0,0,3,1206,1,17,1,3,4,0,41,2,2,4,3,0,4377,3,24117,1,0,15,3,2,2,5,6,3,4,2,3,2.0
24,0,0,3,477,1,24,3,3,4,1,49,3,1,2,2,2,3597,3,6409,8,0,22,4,4,0,6,2,3,4,3,1,2.0
24,0,1,3,984,1,17,2,1,4,0,97,3,1,2,2,1,2210,3,3372,1,0,13,3,1,1,1,3,1,1,0,0,0.0
24,0,0,3,1476,2,4,1,3,4,0,42,3,2,7,3,1,4162,3,15211,1,1,12,3,3,2,5,3,3,5,4,0,3.0
24,0,1,2,381,1,9,3,3,2,1,89,3,1,2,1,2,3172,3,16998,2,1,11,3,3,0,4,2,2,0,0,0,0.0
24,0,0,0,830,2,13,2,1,4,0,78,3,1,8,2,1,2033,3,7103,1,0,13,3,3,1,1,2,3,1,0,0,0.0
24,0,0,3,350,1,21,2,5,3,1,57,2,1,2,1,0,2296,3,10036,0,0,14,3,2,3,2,3,3,1,1,0,0.0
24,0,0,2,567,1,2,1,5,1,0,32,3,1,6,4,2,3760,3,17218,1,1,13,3,3,0,6,2,3,6,3,1,3.0
24,0,0,3,581,1,9,3,3,3,1,62,4,1,6,3,1,4401,3,17616,1,0,16,3,4,1,5,1,3,5,3,0,4.0
24,0,1,3,240,0,22,1,0,4,1,58,1,1,1,3,1,1555,3,11585,1,0,11,3,3,1,1,2,3,1,0,0,0.0
24,0,0,3,506,1,29,1,3,2,1,91,3,1,2,1,0,3907,3,3622,1,0,13,3,2,3,6,2,4,6,2,1,2.0
24,0,0,2,897,0,10,3,3,1,1,59,3,1,1,4,1,2145,3,2097,0,0,14,3,4,1,3,2,3,2,2,2,1.0
24,0,0,3,771,1,1,2,1,2,1,45,2,2,0,3,2,4617,3,14120,1,0,12,3,2,0,4,2,2,4,3,1,2.0
25,0,1,3,240,2,5,3,2,3,1,46,2,2,7,3,2,5744,2,26959,1,1,11,3,4,0,6,1,3,6,4,0,3.0
25,0,0,3,1280,1,7,1,3,4,1,64,2,1,6,4,1,2889,3,26897,1,0,11,3,3,2,2,2,3,2,2,2,1.0
25,0,0,0,675,1,5,2,1,2,1,85,4,2,0,1,0,4000,3,18384,1,0,12,3,4,2,6,2,3,6,3,1,5.0
25,0,0,3,891,2,4,2,1,2,0,99,2,2,7,4,2,4487,3,12090,1,1,11,3,2,0,5,3,3,5,4,1,3.0
25,0,0,3,622,2,13,1,3,2,1,40,3,1,8,3,1,2096,3,26376,1,0,11,3,3,0,7,1,3,7,4,0,6.0
25,0,0,3,810,2,8,3,1,4,1,57,4,2,7,2,1,4851,3,15678,0,0,22,4,3,1,4,4,3,3,2,1,2.0
25,0,0,3,883,2,26,1,3,3,0,32,3,2,7,4,2,6180,2,22807,1,0,23,4,2,0,6,5,2,6,5,1,4.0
25,0,0,3,180,1,2,1,3,1,1,65,4,1,6,1,2,3424,3,21632,7,0,13,3,3,0,6,3,2,4,3,0,1.0
25,0,0,3,141,2,3,1,4,3,1,98,3,2,7,1,1,4194,3,14363,1,1,18,3,4,0,5,3,3,5,3,0,3.0
25,0,0,3,583,2,4,1,2,3,1,87,2,2,7,1,1,4256,3,18154,1,0,12,3,1,0,5,1,4,5,2,0,3.0
25,0,1,3,867,2,19,2,2,3,1,36,2,1,8,2,1,2413,3,18798,1,1,18,3,3,3,1,2,3,1,0,0,0.0
25,0,1,3,1219,1,4,1,5,4,1,32,3,1,2,4,1,3691,3,4605,1,1,15,3,2,1,7,3,4,7,7,5,6.0
25,0,0,3,1356,2,10,4,1,3,1,57,3,2,7,4,2,4950,3,20623,0,0,14,3,2,0,5,4,3,4,3,1,1.0
25,0,1,2,599,2,24,1,1,3,1,73,1,1,8,4,2,1118,3,8040,1,1,14,3,4,0,1,4,3,1,0,1,0.0
25,0,0,3,266,1,1,3,3,4,0,40,3,1,6,2,2,2096,3,18830,1,0,18,3,4,0,2,3,2,2,2,2,1.0
25,0,0,3,882,1,19,1,3,4,1,67,3,1,2,4,1,3669,3,9075,3,0,11,3,3,3,7,6,2,3,2,1,2.0
25,0,0,3,1372,2,18,1,1,1,1,93,4,2,7,3,1,6232,2,12477,2,0,11,3,2,0,6,3,2,3,2,1,2.0
25,0,0,3,949,1,1,3,5,1,1,81,3,1,2,4,1,3229,3,4910,4,0,11,3,2,1,7,2,2,3,2,0,2.0
25,0,1,3,383,2,9,2,1,1,1,68,2,1,8,1,1,4400,3,15182,3,0,12,3,1,0,6,2,3,3,2,2,2.0
25,0,0,2,772,1,2,1,1,4,1,77,4,2,4,3,0,5206,2,4973,1,0,17,3,3,2,7,6,3,7,7,0,7.0
25,0,0,3,309,0,2,3,0,3,0,82,3,1,1,2,1,2187,3,19655,4,0,14,3,3,0,6,3,3,2,0,1,2.0
25,0,0,3,977,1,2,1,4,4,1,57,3,1,2,3,0,3977,3,7298,6,1,19,3,3,1,7,2,2,2,2,0,2.0
25,0,0,3,1382,2,8,2,4,1,0,85,3,2,7,3,0,4907,3,13684,0,1,22,4,2,1,6,3,2,5,3,0,4.0
26,1,1,3,1357,1,25,3,1,1,1,48,1,1,2,3,2,2293,3,10558,1,0,12,3,3,0,1,2,2,1,0,0,1.0
26,1,0,3,1443,2,23,3,2,3,0,47,2,2,7,4,1,4157,3,21436,7,1,19,3,3,1,5,2,2,2,2,0,0.0
26,1,0,3,841,1,6,3,4,3,0,46,2,1,6,2,1,2368,3,23300,1,0,19,3,3,0,5,3,2,5,4,4,3.0
26,1,0,3,1355,0,25,1,1,3,0,61,3,1,1,3,1,2942,3,8916,1,0,23,4,4,1,8,3,3,8,7,5,7.0
26,1,0,2,1479,1,1,3,1,3,0,84,3,2,4,2,0,6397,2,26767,1,0,20,4,1,1,6,6,1,6,5,1,4.0
26,1,0,2,496,1,11,2,3,1,1,60,3,2,0,1,1,4741,3,22722,1,1,13,3,3,1,5,3,3,5,3,3,3.0
26,1,1,3,1449,1,16,4,3,1,1,45,3,1,2,2,0,2373,3,14180,2,1,13,3,4,1,5,2,3,3,2,0,2.0
26,1,1,3,950,2,4,4,2,4,1,48,2,2,7,4,2,5828,2,8450,1,1,12,3,2,0,8,0,3,8,7,7,4.0
26,1,0,3,933,2,1,3,1,3,1,57,3,2,7,3,1,5296,2,20156,1,0,17,3,2,1,8,3,3,8,7,7,7.0
26,1,1,2,575,1,3,1,5,3,1,73,3,1,6,1,2,3102,3,6582,0,0,22,4,3,0,7,2,3,6,4,0,4.0
26,1,0,3,1349,1,23,3,1,1,0,90,3,1,6,4,0,2886,3,3032,1,0,22,4,2,2,3,3,1,3,2,0,2.0
26,1,1,2,426,0,17,4,1,2,0,58,3,1,1,3,0,2741,3,22808,0,1,11,3,2,1,8,2,2,7,7,1,0.0
26,1,0,3,775,2,29,2,3,1,1,45,3,2,7,3,0,4306,3,4267,5,0,12,3,1,2,8,5,3,0,0,0,0.0
26,1,1,3,471,1,24,3,5,3,1,66,1,1,2,4,2,2340,3,23213,1,1,18,3,2,0,1,3,1,1,0,0,0.0
26,1,0,3,703,2,28,2,2,1,1,66,3,2,7,2,1,6272,2,7428,1,0,20,4,4,2,6,5,4,5,3,1,4.0
26,1,0,3,991,1,6,3,1,3,0,71,3,1,2,4,1,2659,3,17759,1,1,13,3,3,1,3,2,3,3,2,0,2.0
26,1,0,2,575,1,1,2,1,1,0,71,1,1,2,4,0,4364,3,5288,3,0,14,3,1,1,5,2,3,2,2,2,0.0
26,1,1,3,1146,2,8,3,5,4,1,38,2,2,7,1,2,5326,2,3064,6,0,17,3,3,0,6,2,2,4,3,1,2.0
26,1,1,2,887,1,5,2,3,3,0,88,2,1,6,3,1,2366,3,20898,1,1,14,3,1,1,8,2,3,8,7,1,7.0
26,1,0,2,1283,2,1,3,3,3,1,52,2,2,7,1,2,4294,3,11148,1,0,12,3,2,0,7,2,3,7,7,0,7.0
26,1,0,3,1066,1,2,2,3,4,1,32,4,2,4,4,1,5472,2,3334,1,0,12,3,2,0,8,2,3,8,7,1,3.0
26,1,1,0,265,2,29,2,3,2,1,79,1,2,7,1,2,4969,3,21813,8,0,18,3,4,0,7,6,3,2,2,2,2.0
26,1,1,2,342,1,2,3,1,1,1,57,3,1,6,1,1,2042,3,15346,6,1,14,3,2,1,6,2,3,3,2,1,2.0
26,1,0,2,921,1,1,1,3,1,0,66,2,1,6,3,0,2007,3,25265,1,0,13,3,3,2,5,5,3,5,3,1,3.0
26,1,0,3,192,1,1,2,3,1,1,59,2,1,2,1,1,3955,3,11141,1,0,16,3,1,2,6,2,3,5,3,1,3.0
26,1,1,3,1330,1,21,3,3,1,1,37,3,1,2,3,0,2377,3,19373,1,0,20,4,3,1,1,0,2,1,1,0,0.0
26,1,0,3,1384,1,3,4,3,1,1,82,4,1,2,4,1,4420,3,13421,1,0,22,4,2,1,8,2,3,8,7,0,7.0
26,1,0,3,583,1,4,2,1,3,1,53,3,1,6,4,2,2875,3,9973,1,1,20,4,2,0,8,2,2,8,5,2,2.0
26,1,0,3,683,1,2,1,3,1,1,36,2,1,6,4,2,3904,3,4050,0,0,12,3,4,0,5,2,3,4,3,1,1.0
26,1,0,3,652,1,7,3,4,3,1,100,4,1,2,1,2,3578,3,23577,0,0,12,3,4,0,8,2,3,7,7,0,7.0
26,1,0,3,474,1,3,3,1,1,0,89,3,1,6,4,1,2061,3,11133,1,0,21,4,1,0,1,5,3,1,0,0,0.0
26,1,0,0,786,1,7,3,3,4,1,76,3,1,2,4,2,2570,3,11925,1,0,20,4,3,0,7,5,3,7,7,5,7.0
26,1,0,3,390,1,17,4,3,4,1,62,1,1,2,3,1,2305,3,6217,1,0,15,3,3,3,3,3,4,3,2,0,2.0
26,1,1,3,920,0,20,2,3,4,0,69,3,1,1,2,1,2148,3,6889,0,1,11,3,3,0,6,3,3,5,1,1,4.0
26,1,0,3,572,2,10,3,3,3,1,46,3,2,7,4,2,4684,3,9125,1,0,13,3,1,0,5,4,3,5,3,1,2.0
26,1,0,3,482,1,1,2,1,2,0,90,2,1,6,3,1,2933,3,14908,1,1,13,3,3,1,1,3,2,1,0,1,0.0
26,1,0,2,1096,1,6,3,4,3,1,61,4,1,2,4,1,2544,3,7102,0,0,18,3,1,1,8,3,3,7,7,7,7.0
26,1,0,3,157,1,1,3,3,3,1,95,3,1,2,1,2,2867,3,20006,0,0,13,3,4,0,8,6,2,7,7,7,6.0
26,1,0,3,1167,2,5,3,4,4,0,30,2,1,8,3,2,2966,3,21378,0,0,18,3,4,0,5,2,3,4,2,0,0.0
26,1,0,3,1167,2,5,3,4,4,0,30,2,1,8,3,2,2966,3,21378,0,0,18,3,4,0,5,2,3,4,2,0,5.0
27,1,0,3,591,1,2,1,3,1,1,40,3,1,2,2,1,3468,3,16632,9,0,12,3,4,1,6,3,3,2,2,2,2.0
27,1,0,3,1240,1,2,4,1,4,0,33,3,1,2,1,0,2341,3,19715,1,0,13,3,4,1,1,6,3,1,0,0,0.0
27,1,0,2,994,2,8,3,1,4,1,37,3,3,7,3,2,8726,2,2975,1,0,15,3,4,0,9,0,3,9,8,1,7.0
27,1,0,0,691,1,9,3,3,4,1,57,3,1,6,2,0,2024,3,5970,6,0,18,3,4,1,6,1,1,2,2,2,2.0
27,1,0,0,1450,1,3,3,3,3,1,79,2,1,6,3,0,2566,3,25326,1,1,15,3,4,1,1,2,2,1,1,0,1.0
27,1,0,3,1157,1,17,3,5,3,1,51,3,1,6,2,1,3058,3,13364,0,1,16,3,4,1,6,3,2,5,2,1,1.0
27,1,0,3,894,1,9,3,3,4,0,99,3,1,6,2,2,2279,3,11781,1,0,16,3,4,0,7,2,2,7,7,0,3.0
27,1,0,2,472,1,1,1,5,3,1,60,2,2,4,1,1,4298,3,9679,5,0,19,3,3,1,6,1,3,2,2,2,0.0
27,1,0,2,1242,2,20,3,1,4,0,90,3,2,7,3,2,9981,2,12916,1,0,14,3,4,0,7,2,3,7,7,0,7.0
27,1,0,3,1220,1,5,3,1,3,0,85,3,1,6,2,2,2478,3,20938,1,1,12,3,2,0,4,2,2,4,3,1,2.0
27,1,0,3,1377,2,2,3,1,4,1,74,3,2,7,3,2,4478,3,5242,1,1,11,3,1,0,5,3,3,5,4,0,4.0
27,1,0,0,210,2,1,1,2,3,1,73,3,2,7,2,1,6349,2,22107,0,1,13,3,4,1,6,0,3,5,4,1,4.0
27,1,0,3,1130,2,8,4,2,2,0,56,3,2,7,2,1,6214,2,3415,1,0,18,3,1,1,8,3,3,8,7,0,7.0
27,1,0,3,1469,1,1,2,3,4,1,82,3,1,2,2,0,3816,3,17881,1,0,11,3,2,1,5,2,3,5,2,0,4.0
27,1,0,3,798,1,6,4,3,1,0,66,2,1,6,3,0,2187,3,5013,0,0,12,3,3,2,6,5,2,5,3,0,3.0
27,1,1,3,1420,2,2,1,2,3,1,85,3,1,8,1,0,3041,3,16346,0,0,11,3,2,1,5,3,3,4,3,0,2.0
27,1,0,3,1115,1,3,4,3,1,1,54,2,1,6,4,2,2045,3,15174,0,0,13,3,4,0,5,0,3,4,2,1,1.0
27,1,0,2,1410,2,3,1,3,4,0,71,4,2,7,4,0,4647,3,16673,1,1,20,4,2,2,6,3,3,6,5,0,4.0
27,1,0,3,608,1,1,2,1,3,0,68,3,3,4,1,1,7412,2,6009,1,0,11,3,4,0,9,3,3,9,7,0,7.0
27,1,0,2,294,1,10,2,1,4,1,32,3,3,4,1,0,8793,2,4809,1,0,21,4,3,2,9,4,2,9,7,1,7.0
27,1,0,3,975,1,7,3,3,4,0,55,2,2,0,1,2,6811,2,23398,8,0,19,3,1,0,9,2,1,7,6,0,7.0
27,1,0,2,829,2,8,1,2,3,1,84,3,2,7,4,1,4342,3,24008,0,0,19,3,2,1,5,3,3,4,2,1,1.0
27,1,0,3,269,1,5,1,5,3,1,42,2,3,5,4,0,12808,0,8842,1,1,16,3,2,1,9,3,3,9,8,0,8.0
27,1,0,0,443,1,3,3,3,4,1,50,3,1,6,4,1,1706,3,16571,1,0,11,3,3,3,0,6,2,0,0,0,0.0
27,1,0,3,618,1,4,3,1,2,0,76,3,1,6,3,2,2318,3,17808,1,0,19,3,3,0,1,2,3,1,1,0,0.0
27,1,0,3,1134,1,16,4,5,3,0,37,3,1,2,2,1,2811,3,12086,9,0,14,3,2,1,4,2,3,2,2,2,2.0
27,1,0,3,1055,1,2,4,1,1,0,47,3,2,4,4,1,4227,3,4658,0,0,18,3,2,1,4,2,3,3,2,2,2.0
27,1,0,0,1277,1,8,5,1,1,1,87,1,1,2,3,1,4621,3,5869,1,0,19,3,4,3,3,4,3,3,2,1,2.0
27,1,0,3,199,1,6,3,1,4,1,55,2,1,6,3,1,2539,3,7950,1,0,13,3,3,1,4,0,3,4,2,2,2.0
27,1,0,3,1103,1,14,3,1,1,1,42,3,1,6,1,1,2235,3,14377,1,1,14,3,4,2,9,3,2,9,7,6,8.0
27,1,0,3,1167,1,4,2,1,1,1,76,3,1,6,3,0,2517,3,3208,1,0,11,3,2,3,5,2,3,5,3,0,3.0
27,1,0,3,1291,2,11,3,3,3,0,98,4,1,8,4,1,2534,3,6527,8,0,14,3,2,1,5,4,3,1,0,0,0.0
27,1,0,2,793,2,2,1,1,4,1,43,1,2,7,4,2,5071,2,20392,3,0,20,4,2,0,8,3,3,6,2,0,0.0
27,1,0,3,205,2,10,3,2,4,0,98,2,2,7,4,1,5769,2,7100,1,1,11,3,4,0,6,3,3,6,2,4,4.0
